points,price,province,region_1,region_2,variety,winery
93,82.0,California,Oakville,Napa,Cabernet Sauvignon,Kelleher
93,125.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Blackbird Vineyards
93,50.0,Oregon,Eola-Amity Hills,Willamette Valley,Pinot Noir,Cristom
93,44.0,California,Sonoma Coast,Sonoma,Pinot Noir,De Loach
93,44.0,California,Russian River Valley,Sonoma,Chardonnay,De Loach
93,55.0,California,Napa Valley,Napa,Cabernet Sauvignon,Frazier
92,85.0,California,St. Helena,Napa,Cabernet Sauvignon,Anomaly
92,58.0,California,Russian River Valley,Sonoma,Pinot Noir,Dutton-Goldfield
92,42.0,California,Napa Valley,Napa,Merlot,Frazier
92,35.0,Oregon,McMinnville,Willamette Valley,Pinot Noir,Hyland
92,58.0,California,Napa Valley,Napa,Cabernet Sauvignon,Joseph Phelps
92,50.0,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Morgan
92,90.0,California,Sonoma Coast,Sonoma,Pinot Noir,Notre Vin
92,40.0,California,Alexander Valley,Sonoma,Zinfandel,Sausal
92,45.0,California,Atlas Peak,Napa,Syrah,Aril
92,125.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Blackbird Vineyards
92,26.0,Oregon,Eola-Amity Hills,Willamette Valley,Viognier,Cristom
92,25.0,Oregon,Eola-Amity Hills,Willamette Valley,Viognier,Cristom
86,22.0,California,Santa Barbara County,Central Coast,Syrah,Consilience
86,26.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Cubanisimo Vineyards
86,45.0,California,Sonoma Valley,Sonoma,Red Blend,Deering
86,32.0,California,El Dorado,Sierra Foothills,Roussanne,Donkey & Goat
85,24.0,California,Napa Valley,Napa,Sauvignon Blanc,Peace Water
92,65.0,California,Sonoma Coast,Sonoma,Pinot Noir,FEL
92,15.0,Oregon,Oregon,Oregon Other,Riesling,A to Z
92,54.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Archery Summit
92,89.0,California,Napa Valley,Napa,Red Blend,B Cellars
92,68.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Barden
92,42.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Big Table Farm
92,28.0,California,Santa Barbara County,Central Coast,Rosé,Curran
92,80.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Flora Springs
92,45.0,California,Sta. Rita Hills,Central Coast,Chardonnay,Foley
92,30.0,California,Sierra Foothills,Sierra Foothills,Red Blend,Le Casque
92,60.0,California,Russian River Valley,Sonoma,Pinot Noir,Ledson
84,9.0,California,California,California Other,Chardonnay,Montevina
84,16.0,New York,Finger Lakes,Finger Lakes,Pinot Gris,Billsboro
84,15.0,California,Paso Robles,Central Coast,Zinfandel,Castoro Cellars
84,22.0,Oregon,Southern Oregon,Southern Oregon,Pinot Blanc,Erath
84,39.0,California,Knights Valley,Sonoma,Cabernet Sauvignon,Elements of Sonoma
84,22.0,California,Central Coast,Central Coast,Roussanne,Opolo
84,30.0,California,Alexander Valley,Sonoma,Zinfandel,Starry Night
84,14.0,California,Paso Robles,Central Coast,Sauvignon Blanc,Maddalena
90,24.0,Oregon,Ribbon Ridge,Willamette Valley,Grüner Veltliner,Chehalem
90,14.0,Oregon,Rogue Valley,Southern Oregon,Gewürztraminer,Foris
90,26.0,California,Sta. Rita Hills,Central Coast,Chardonnay,Melville
90,20.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Plungerhead
90,33.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Laelaps
90,20.0,California,Clarksburg,Central Valley,Gewürztraminer,LangeTwins
90,49.0,California,Green Valley,Sonoma,Pinot Noir,MacPhail
90,56.0,California,Russian River Valley,Sonoma,Pinot Noir,MacRostie
90,49.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Winter's Hill
90,35.0,California,Shenandoah Valley (CA),Sierra Foothills,Barbera,Helwig
90,18.0,California,Shenandoah Valley (CA),Sierra Foothills,Viognier,Helwig
89,38.0,Oregon,Dundee Hills,Willamette Valley,Chardonnay,Sokol Blosser
89,27.0,California,Lodi,Central Valley,Zinfandel,Solitary Cellars
89,19.0,California,Temecula Valley,South Coast,Sparkling Blend,South Coast
89,40.0,California,Adelaida District,Central Coast,G-S-M,Summerwood
89,50.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Durant
89,25.0,California,Sierra Foothills,Sierra Foothills,Barbera,Easton
89,36.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,El Pistolero
89,27.0,California,California,California Other,Red Blend,Prospect 772
86,24.0,California,Calaveras County,Sierra Foothills,Zinfandel,Newsome-Harlow
86,40.0,California,Rockpile,Sonoma,Cabernet Sauvignon,Paradise Ridge
86,14.0,California,California,California Other,Muscat,Quady
86,30.0,California,Santa Barbara County,Central Coast,Merlot,Rancho Sisquoc
86,20.0,California,Santa Barbara County,Central Coast,Chardonnay,Rancho Sisquoc
86,37.0,California,Napa Valley,Napa,Petite Sirah,Rutherford Grove
86,12.0,California,Sonoma County,Sonoma,Red Blend,St. Francis
86,19.0,Washington,Columbia Valley (WA),Columbia Valley,Sangiovese,Stella Fino
86,19.0,California,Shenandoah Valley (CA),Sierra Foothills,Sangiovese,Amador Foothill Winery
86,90.0,California,Carmel Valley,Central Coast,Cabernet Sauvignon,Bernardus
86,24.0,California,Russian River Valley,Sonoma,Pinot Noir,De Loach
86,21.0,California,Napa Valley,Napa,Sauvignon Blanc,Voss
86,10.0,California,California,California Other,Pinot Grigio,McManis
86,38.0,California,Rockpile,Sonoma,Zinfandel,Paradise Ridge
86,14.0,California,Santa Barbara County,Central Coast,Silvaner,Rancho Sisquoc
82,28.0,California,Dry Creek Valley,Sonoma,Zinfandel,Puccioni
82,25.0,California,Alexander Valley,Sonoma,Zinfandel,Trentadue
81,17.0,California,Clarksburg,Central Valley,Viognier,LangeTwins
81,14.0,California,California,California Other,Petite Sirah,Heavyweight
80,14.0,California,California,California Other,Cabernet Sauvignon,Heavyweight
80,13.0,California,Capay Valley,Central Valley,Viognier,Capay Valley
80,26.0,California,Livermore Valley,Central Coast,Cabernet Sauvignon,3 Steves Winery
100,450.0,California,Sonoma County,Sonoma,Bordeaux-style Red Blend,Verité
99,44.0,California,Sonoma Coast,Sonoma,Chardonnay,Failla
98,150.0,California,Oakville,Napa,Cabernet Sauvignon,Goldschmidt
98,60.0,California,Mount Veeder,Napa,Merlot,Mt. Brave
97,450.0,California,Sonoma County,Sonoma,Bordeaux-style Red Blend,Verité
97,450.0,California,Sonoma County,Sonoma,Bordeaux-style Red Blend,Verité
97,100.0,California,Carneros,Napa-Sonoma,Pinot Noir,Donum
96,45.0,Washington,Snipes Mountain,Columbia Valley,Rhône-style Red Blend,Maison Bleue
96,450.0,California,Sonoma County,Sonoma,Bordeaux-style Red Blend,Verité
96,50.0,California,Russian River Valley,Sonoma,Chardonnay,Lynmar
96,245.0,California,Napa Valley,Napa,Cabernet Sauvignon,Jarvis
95,55.0,California,Howell Mountain,Napa,Merlot,La Jota Vineyard
95,40.0,California,Russian River Valley,Sonoma,Chardonnay,Lynmar
93,40.0,California,Dry Creek Valley,Sonoma,Cabernet Sauvignon,William Knuttel
93,110.0,California,St. Helena,Napa,Cabernet Sauvignon,Ehlers Estate
93,35.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Falcone
93,75.0,California,Santa Barbara County,Central Coast,Syrah,Jaffurs
93,60.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Bien Nacido
93,39.0,California,Santa Maria Valley,Central Coast,Chardonnay,Dolin
93,26.0,California,Livermore Valley,Central Coast,Chardonnay,Ruby Hill Winery
93,35.0,New York,Finger Lakes,Finger Lakes,Cabernet Franc,Shaw
93,36.0,California,Edna Valley,Central Coast,Grenache,Stephen Ross
93,45.0,California,Adelaida District,Central Coast,Rhône-style Red Blend,kukkula
88,25.0,Oregon,Rogue Valley,Southern Oregon,Pinot Gris,Deer Creek
